processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	
ZSILG730-22	ZSILG_ZS-3327	15236873	ZS-3327	ZSILG_ZS-3327	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	741526	Panthera uncia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG741-22	ZSILG_ZS-3344	15236884	ZS-3344	ZSILG_ZS-3344	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	741526	Panthera uncia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG742-22	ZSILG_ZS-3346	15236885	ZS-3346	ZSILG_ZS-3346	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	741526	Panthera uncia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSIWF088-22	ZSI-2022-FI-129A	14464550	ZSI-2022-FI-129A	ZSI-2022-FI-129A	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	23.5863	81.173	Coordinates from country centroid	 	India	 	 	 	
ABRMM034-06	ROM 100177	308137	100177	PM12535	Royal Ontario Museum	BOLD:AAB8333	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	Metro Toronto Zoo	1992-05-07	I	M	S	 	 	 	 	 	 	 	 	 	 	
CAR215-11	bPon102	1911457	 	jaguar1	Parque Zoologico Sapucaia do Sul	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	263143	Panthera onca	 	 	Raquel Von Hohendorff	 	 	 	 	A	 	 	probably from Brazil	Faecal sample from Zoo animal	-11.5246	-54.3552	Coordinates from country centroid	 	Brazil	 	 	 	
GBCHO2601-23	XR_006196894	19913431	 	 	 	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73482	Panthera leo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Unrecoverable	 	 	 	
GBCHO2925-23	XR_008422789	19913755	 	 	 	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Unrecoverable	 	 	 	
GBGC15961-19	MH124104	10866225	STP177100_1	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462529	Panthera tigris altaica	 	 	 	 	 	 	 	 	 	 	38.0733	104.691	Coordinates from country centroid	 	China	 	 	 	
GBGC15969-19	MH124112	10866233	STP315744	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462529	Panthera tigris altaica	 	 	 	 	 	 	 	 	 	 	38.0733	104.691	Coordinates from country centroid	 	China	 	 	 	
GBGC15970-19	MH124114	10866234	STP315750	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462529	Panthera tigris altaica	 	 	 	 	 	 	 	 	 	 	38.0733	104.691	Coordinates from country centroid	 	China	 	 	 	
GBMA18138-19	KF385968	9785713	 	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	 	 	 	 	 	 	 	 	 	 	 	 	13.6622	101.087	Coordinates from country centroid	 	Thailand	 	 	 	
